;;;;;;;;;;;;;;;;;
Второй раздел – виды спорта, развитие которых осуществляется на общероссийском уровне, и их спортивные дисциплины;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
№;Наименование  вида спорта;Номер-код вида спорта;Наименование спортивной дисциплины;Номер-код спортивной дисциплины;;;;;;;;;;;;;
;;;МВ/ДМ-40, ВИНТОВКА МАЛОКАЛИБЕРНАЯ, 50 М, 40 ВЫСТРЕЛОВ (20+20), ДВИЖУЩАЯСЯ МИШЕНЬ, МЕДЛЕННАЯ И БЫСТРАЯ СКОРОСТИ;0440211811А;;;;;;;;;;;;;
;;;МВ/ДМ-40 МИКС, ВИНТОВКА МАЛОКАЛИБЕРНАЯ, 50 М, 40 ВЫСТРЕЛОВ (20+20), ДВИЖУЩАЯСЯ МИШЕНЬ, МЕДЛЕННАЯ И БЫСТРАЯ СКОРОСТИ - МИКС;0440221811Я;;;;;;;;;;;;;
;;;МВ/ДМ-60, ВИНТОВКА МАЛОКАЛИБЕРНАЯ, 50 М, 60 ВЫСТРЕЛОВ (30+30), ДВИЖУЩАЯСЯ МИШЕНЬ, МЕДЛЕННАЯ И БЫСТРАЯ СКОРОСТИ;0440231811Я;;;;;;;;;;;;;
;;;МПП-180, КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА Х 60 ВЫСТРЕЛОВ);0440611811Я;;;;;;;;;;;;;
;;;КП-60, КРУПНОКАЛИБЕРНЫЙ ПИСТОЛЕТ ИЛИ РЕВОЛЬВЕР, 25 М, 60 ВЫСТРЕЛОВ (30+30);0440621811А;;;;;;;;;;;;;
;;;КП-180, КОМАНДНЫЕ СОРЕВНОВАНИЯ (3 ЧЕЛОВЕКА Х 60 ВЫСТРЕЛОВ);0440631811А;;;;;;;;;;;;;
11;РАДИОСПОРТ;1450001411Я;РАДИОСВЯЗЬ НА УКВ;1450081811Я;;;;;;;;;;;;;
;;;РАДИОСВЯЗЬ НА КВ - СМЕСЬ;1450121811Я;;;;;;;;;;;;;
;;;РАДИОСВЯЗЬ НА КВ - ТЕЛЕГРАФ;1450071811Я;;;;;;;;;;;;;
;;;РАДИОСВЯЗЬ НА КВ- ТЕЛЕФОН;1450061811Я;;;;;;;;;;;;;
;;;СПОРТИВНАЯ РАДИОПЕЛЕНГАЦИЯ – СПРИНТ;1450101811Я;;;;;;;;;;;;;
;;;СПОРТИВНАЯ РАДИОПЕЛЕНГАЦИЯ – РАДИООРИЕНТИРОВАНИЕ;1450091811Я;;;;;;;;;;;;;
;;;СПОРТИВНАЯ РАДИОПЕЛЕНГАЦИЯ 144 МГЦ;1450111811Я;;;;;;;;;;;;;
;;;СПОРТИВНАЯ РАДИОПЕЛЕНГАЦИЯ 3,5 МГЦ;1450041811Я;;;;;;;;;;;;;
;;;СКОРОСТНАЯ РАДИОТЕЛЕГРАФИЯ;1450051811Я;;;;;;;;;;;;;
;;;МНОГОБОРЬЕ МР-2;1450031811Я;;;;;;;;;;;;;
;;;МНОГОБОРЬЕ МР-3;1450021811Я;;;;;;;;;;;;;
;;;МНОГОБОРЬЕ МР-4;1450011811Я;;;;;;;;;;;;;
12;УШУ;0870001511Я;ЮНЧУНЬЦЮАНЬ - ТРАДИЦИОННЫЕ ФОРМЫ;0870561811Я;;;;;;;;;;;;;
;;;ЮНЧУНЬЦЮАНЬ - ШУАНДАО;0870571811Я;;;;;;;;;;;;;
;;;САНЬДА - ВЕСОВАЯ КАТЕГОРИЯ 48 КГ;0870141811Я;;;;;;;;;;;;;
;;;КУНГФУ - ТРАДИЦИОННОЕ УШУ ГУНЬШУ;0870371811Я;;;;;;;;;;;;;
;;;КУНГФУ - ТРАДИЦИОННОЕ УШУ ДУАНЬБИН;0870331811Я;;;;;;;;;;;;;
;;;КУНГФУ - ТРАДИЦИОННОЕ УШУ ДУЙЛЯНЬ;0870381811Я;;;;;;;;;;;;;
;;;КУНГФУ - ТРАДИЦИОННОЕ УШУ ДУЙЛЯНЬ ЦИСЕ;0870391811Я;;;;;;;;;;;;;
;;;КУНГФУ - ТРАДИЦИОННОЕ УШУ ЖУАНЬБИН;0870351811Я;;;;;;;;;;;;;
;;;КУНГФУ - ТРАДИЦИОННОЕ УШУ - МНОГОБОРЬЕ;0870401811Я;;;;;;;;;;;;;
;;;КУНГФУ - ТРАДИЦИОННОЕ УШУ ЦЮАНЬШУ - 1 ГРУППА;0870131811Я;;;;;;;;;;;;;
;;;КУНГФУ - ТРАДИЦИОННОЕ УШУ ЦЮАНЬШУ - 4 ГРУППА;0870301811Я;;;;;;;;;;;;;
;;;КУНГФУ - ТРАДИЦИОННОЕ УШУ ЦЮАНЬШУ - 5 ГРУППА;0870311811Я;;;;;;;;;;;;;
;;;КУНГФУ - ТРАДИЦИОННОЕ УШУ ЦЮАНЬШУ - 6 ГРУППА;0870321811Я;;;;;;;;;;;;;
;;;САНЬДА - ВЕСОВАЯ КАТЕГОРИЯ 52 КГ;0870151811Я;;;;;;;;;;;;;
;;;САНЬДА - ВЕСОВАЯ КАТЕГОРИЯ 56 КГ;0870161811Я;;;;;;;;;;;;;
;;;САНЬДА - ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;0870171811Я;;;;;;;;;;;;;
;;;САНЬДА - ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;0870181811Я;;;;;;;;;;;;;
;;;САНЬДА - ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;0870191811Г;;;;;;;;;;;;;
;;;САНЬДА - ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;0870201811Г;;;;;;;;;;;;;
;;;САНЬДА - ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;0870211811А;;;;;;;;;;;;;
;;;САНЬДА - ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;0870221811М;;;;;;;;;;;;;
;;;САНЬДА - ВЕСОВАЯ КАТЕГОРИЯ 90 КГ;0870231811М;;;;;;;;;;;;;
;;;САНЬДА - ВЕСОВАЯ КАТЕГОРИЯ 90+ КГ;0870241811М;;;;;;;;;;;;;
;;;КУНГФУ - ТРАДИЦИОННОЕ УШУ ЦЮАНЬШУ - 2 ГРУППА;0870281811Я;;;;;;;;;;;;;
;;;КУНГФУ - ТРАДИЦИОННОЕ УШУ ЦЮАНЬШУ - 3 ГРУППА;0870291811Я;;;;;;;;;;;;;
;;;ЮНЧУНЬЦЮАНЬ - ВЕСОВАЯ КАТЕГОРИЯ 56 КГ;0870431811Я;;;;;;;;;;;;;
;;;ЮНЧУНЬЦЮАНЬ - ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;0870441811Я;;;;;;;;;;;;;
;;;ЮНЧУНЬЦЮАНЬ - ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;0870451811Я;;;;;;;;;;;;;
;;;ЮНЧУНЬЦЮАНЬ - ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;0870461811Я;;;;;;;;;;;;;
;;;ЮНЧУНЬЦЮАНЬ - ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;0870471811Я;;;;;;;;;;;;;
;;;ЮНЧУНЬЦЮАНЬ - ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;0870481811Я;;;;;;;;;;;;;
;;;ЮНЧУНЬЦЮАНЬ - ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;0870491811А;;;;;;;;;;;;;
;;;ЮНЧУНЬЦЮАНЬ - ВЕСОВАЯ КАТЕГОРИЯ 90 КГ;0870501811А;;;;;;;;;;;;;
;;;ЮНЧУНЬЦЮАНЬ - ВЕСОВАЯ КАТЕГОРИЯ 90+ КГ;0870511811А;;;;;;;;;;;;;
;;;ЮНЧУНЬЦЮАНЬ - ГУЙДИН;0870521811Я;;;;;;;;;;;;;
;;;ЮНЧУНЬЦЮАНЬ - ГУЙДИН ДУЙДА;0870531811Я;;;;;;;;;;;;;
;;;ЮНЧУНЬЦЮАНЬ - ГУНЬ;0870541811Я;;;;;;;;;;;;;
;;;ЮНЧУНЬЦЮАНЬ - МУЖЭНЬЧЖУАН;0870551811Я;;;;;;;;;;;;;
;;;ТАОЛУ - ГУНЬ ШУ;0870011811Я;;;;;;;;;;;;;
;;;ТАОЛУ - ДАО ШУ;0870021811Я;;;;;;;;;;;;;
;;;ТАОЛУ - ДУЙЛЯНЬ;0870031811Я;;;;;;;;;;;;;
;;;ТАОЛУ - ДУЙЛЯНЬ ЦИСЕ;0870251811Я;;;;;;;;;;;;;
;;;ТАОЛУ - НАНЬГУНЬ;0870041811Я;;;;;;;;;;;;;
;;;ТАОЛУ - НАНЬДАО;0870051811Я;;;;;;;;;;;;;
;;;ТАОЛУ - НАНЬЦЮАНЬ;0870061811Я;;;;;;;;;;;;;
;;;ТАОЛУ - ТАЙЦЗИ ЦЗЯНЬ;0870071811Я;;;;;;;;;;;;;
;;;ТАОЛУ - ТАЙЦЗИЦЮАНЬ;0870081811Я;;;;;;;;;;;;;
;;;ТАОЛУ - ЦЗИТИСЯНМУ;0870261811Я;;;;;;;;;;;;;
;;;ТАОЛУ - ЦЗЯНЬШУ;0870091811Я;;;;;;;;;;;;;
;;;ТАОЛУ - ЦЯНШУ;0870101811Я;;;;;;;;;;;;;
;;;ТАОЛУ - ЧАНЦЮАНЬ;0870111811Я;;;;;;;;;;;;;
;;;КУНГФУ - ТРАДИЦИОННОЕ УШУ БИНЦИ;0870121811Я;;;;;;;;;;;;;
;;;КУНГФУ - ТРАДИЦИОННОЕ УШУ ЧАНБИН;0870341811Я;;;;;;;;;;;;;
;;;КУНГФУ - ТРАДИЦИОННОЕ УШУ ШУАНБИН;0870361811Я;;;;;;;;;;;;;
;;;ТАОЛУ - МНОГОБОРЬЕ;0870271811Я;;;;;;;;;;;;;
;;;ЮНЧУНЬЦЮАНЬ - ВЕСОВАЯ КАТЕГОРИЯ 48 КГ;0870411811Я;;;;;;;;;;;;;
;;;ЮНЧУНЬЦЮАНЬ - ВЕСОВАЯ КАТЕГОРИЯ 52 КГ;0870421811Я;;;;;;;;;;;;;
13;СПОРТИВНАЯ АКРОБАТИКА;0810001511Я;КОМАНДНЫЕ СОРЕВНОВАНИЯ;0810131811Л;;;;;;;;;;;;;
;;;ЧЕТВЕРКА - КОМБИНИРОВАННОЕ УПРАЖНЕНИЕ;0810201811А;;;;;;;;;;;;;
;;;ЧЕТВЕРКА - МНОГОБОРЬЕ;0810121811А;;;;;;;;;;;;;
;;;ЧЕТВЕРКА - ТЕМПОВОЕ УПРАЖНЕНИЕ;0810111811А;;;;;;;;;;;;;
;;;ЧЕТВЕРКА - БАЛАНСОВОЕ УПРАЖНЕНИЕ;0810101811А;;;;;;;;;;;;;
;;;ТРОЙКА - КОМБИНИРОВАННОЕ УПРАЖНЕНИЕ;0810191811Б;;;;;;;;;;;;;
;;;ТРОЙКА - МНОГОБОРЬЕ;0810091811Б;;;;;;;;;;;;;
;;;ТРОЙКА - ТЕМПОВОЕ УПРАЖНЕНИЕ;0810081811Б;;;;;;;;;;;;;
;;;ТРОЙКА - БАЛАНСОВОЕ УПРАЖНЕНИЕ;0810071811Б;;;;;;;;;;;;;
;;;СМЕШАННАЯ ПАРА - КОМБИНИРОВАННОЕ УПРАЖНЕНИЕ;0810181811Я;;;;;;;;;;;;;
;;;СМЕШАННАЯ ПАРА - МНОГОБОРЬЕ;0810061811Я;;;;;;;;;;;;;
;;;СМЕШАННАЯ ПАРА - ТЕМПОВОЕ УПРАЖНЕНИЕ;0810051811Я;;;;;;;;;;;;;
;;;СМЕШАННАЯ ПАРА - БАЛАНСОВОЕ УПРАЖНЕНИЕ;0810041811Я;;;;;;;;;;;;;
;;;ПАРА - КОМБИНИРОВАННОЕ УПРАЖНЕНИЕ;0810171811Я;;;;;;;;;;;;;
;;;ПАРА - МНОГОБОРЬЕ;0810031811Я;;;;;;;;;;;;;
;;;ПАРА - ТЕМПОВОЕ УПРАЖНЕНИЕ;0810021811Я;;;;;;;;;;;;;
;;;ПАРА - БАЛАНСОВОЕ УПРАЖНЕНИЕ;0810011811Я;;;;;;;;;;;;;
14;СПОРТ ГЛУХИХ;1140007711Я;АРМРЕСТЛИНГ - ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;1140021711Д;;;;;;;;;;;;;
;;;АРМРЕСТЛИНГ - ВЕСОВАЯ КАТЕГОРИЯ 50 КГ;1140031711С;;;;;;;;;;;;;
;;;АРМРЕСТЛИНГ - ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;1140041711С;;;;;;;;;;;;;
;;;АРМРЕСТЛИНГ - ВЕСОВАЯ КАТЕГОРИЯ 70+ КГ;1140091711Э;;;;;;;;;;;;;
;;;АРМРЕСТЛИНГ - ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;1140101711М;;;;;;;;;;;;;
;;;АРМРЕСТЛИНГ - ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;1140121711М;;;;;;;;;;;;;
;;;АРМРЕСТЛИНГ - ВЕСОВАЯ КАТЕГОРИЯ 40 КГ;1140011711Д;;;;;;;;;;;;;
;;;АРМРЕСТЛИНГ - ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;1140051711Я;;;;;;;;;;;;;
;;;АРМРЕСТЛИНГ - ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;1140061711Я;;;;;;;;;;;;;
;;;АРМРЕСТЛИНГ - ВЕСОВАЯ КАТЕГОРИЯ 65+ КГ;1140071711Д;;;;;;;;;;;;;
;;;АРМРЕСТЛИНГ - ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;1140081711Г;;;;;;;;;;;;;
;;;ВЕЛОСИПЕДНЫЙ СПОРТ - МАУНТИНБАЙК - КРОСС-КАНТРИ;1142521711Л;;;;;;;;;;;;;
;;;ВЕЛОСИПЕДНЫЙ СПОРТ - МАУНТИНБАЙК - КРОСС - КАНТРИ - ГОНКА С ВЫБЫВАНИЕМ;1140111711Л;;;;;;;;;;;;;
;;;ВЕЛОСИПЕДНЫЙ СПОРТ - МАУНТИНБАЙК - КРОСС - КАНТРИ - МАРАФОН;1142841711Л;;;;;;;;;;;;;
;;;ВЕЛОСИПЕДНЫЙ СПОРТ - МАУНТИНБАЙК - ЭСТАФЕТА;1142541711Л;;;;;;;;;;;;;
;;;ВЕЛОСИПЕДНЫЙ СПОРТ - ШОССЕ - ИНДИВИДУАЛЬНАЯ ГОНКА НА ВРЕМЯ;1140821711Л;;;;;;;;;;;;;
;;;ВЕЛОСИПЕДНЫЙ СПОРТ - ШОССЕ - КРИТЕРИУМ;1140891711Г;;;;;;;;;;;;;
;;;ВЕЛОСИПЕДНЫЙ СПОРТ - ШОССЕ - СПРИНТ 1000 М;1140901711Г;;;;;;;;;;;;;
;;;ВЕЛОСИПЕДНЫЙ СПОРТ - ШОССЕ - ГРУППОВАЯ ГОНКА;1140881711Л;;;;;;;;;;;;;
;;;ВОЛЕЙБОЛ;1140912711Я;;;;;;;;;;;;;
;;;ВОЛЕЙБОЛ - ПЛЯЖНЫЙ;1140922711Я;;;;;;;;;;;;;
;;;ВОЛЬНАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 38 КГ;1140511711Ю;;;;;;;;;;;;;
;;;ВОЛЬНАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 41 КГ;1140521711Ю;;;;;;;;;;;;;
;;;ВОЛЬНАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 44 КГ;1140531711Ю;;;;;;;;;;;;;
;;;ВОЛЬНАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;1140541711Ю;;;;;;;;;;;;;
;;;ВОЛЬНАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 48 КГ;1140551711Ю;;;;;;;;;;;;;
;;;ВОЛЬНАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 51 КГ;1140561711Ю;;;;;;;;;;;;;
;;;ВОЛЬНАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 52 КГ;1140571711Ю;;;;;;;;;;;;;
;;;ВОЛЬНАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;1140581711Ю;;;;;;;;;;;;;
;;;ВОЛЬНАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 57 КГ;1140591711А;;;;;;;;;;;;;
;;;ВОЛЬНАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;1140601711Ю;;;;;;;;;;;;;
;;;ВОЛЬНАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 61 КГ;1140611711А;;;;;;;;;;;;;
;;;ВОЛЬНАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 62 КГ;1140621711Ю;;;;;;;;;;;;;
;;;ВОЛЬНАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;1140631711А;;;;;;;;;;;;;
;;;ВОЛЬНАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 68 КГ;1140641711Ю;;;;;;;;;;;;;
;;;ВОЛЬНАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;1140651711А;;;;;;;;;;;;;
;;;ВОЛЬНАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 71 КГ;1140661711Ю;;;;;;;;;;;;;
;;;ВОЛЬНАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 74 КГ;1140671711А;;;;;;;;;;;;;
;;;ГОРНОЛЫЖНЫЙ СПОРТ - СЛАЛОМ - ГИГАНТ;1142573711Я;;;;;;;;;;;;;
;;;ГОРНОЛЫЖНЫЙ СПОРТ - СЛАЛОМ;1142583711Я;;;;;;;;;;;;;
;;;ГОРНОЛЫЖНЫЙ СПОРТ - СУПЕР - КОМБИНАЦИЯ;1142593711Я;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 38 КГ;1140771711Ю;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 41 КГ;1140781711Ю;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 44 КГ;1140791711Ю;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;1140801711Ю;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 48 КГ;1140811711Ю;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 51 КГ;1140841711Ю;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 52 КГ;1140851711Ю;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;1140861711А;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 57 КГ;1140871711Ю;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 62 КГ;1142241711Ю;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;1142251711Ю;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;1142261711А;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 63 КГ;1142271711А;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 67 КГ;1142281711А;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 68 КГ;1142291711Ю;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 71 КГ;1142301711Ю;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 72 КГ;1142311711А;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;1142321711Ю;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 77 КГ;1142331711А;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;1142341711Ю;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 82 КГ;1142771711А;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;1142781711Ю;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 87 КГ;1142791711А;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 92 КГ;1142801711Ю;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 97 КГ;1142811711А;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 110 КГ;1142821711Ю;;;;;;;;;;;;;
;;;ГРЕКО-РИМСКАЯ БОРЬБА - ВЕСОВАЯ КАТЕГОРИЯ 130 КГ;1142831711А;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 40 КГ;1140301711Д;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 44 КГ;1140311711Д;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 48 КГ;1140331711Б;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 50 КГ;1140341711Ю;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 52 КГ;1140351711Б;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;1140361711Ю;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 57 КГ;1140371711Б;;;;;;;;;;;;;
;;;КАРАТЭ - ВЕСОВАЯ КАТЕГОРИЯ 50 КГ;1140931711Б;;;;;;;;;;;;;
;;;КАРАТЭ - ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;1140941711Б;;;;;;;;;;;;;
;;;КАРАТЭ - ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;1140951711А;;;;;;;;;;;;;
;;;КАРАТЭ - ВЕСОВАЯ КАТЕГОРИЯ 61 КГ;1140961711Б;;;;;;;;;;;;;
;;;КАРАТЭ - ВЕСОВАЯ КАТЕГОРИЯ 67 КГ;1140971711А;;;;;;;;;;;;;
;;;КАРАТЭ - ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;1140981711А;;;;;;;;;;;;;
;;;КАРАТЭ - ВЕСОВАЯ КАТЕГОРИЯ 68 КГ;1140991711Б;;;;;;;;;;;;;
;;;КАРАТЭ - ВЕСОВАЯ КАТЕГОРИЯ 68+ КГ;1141001711Б;;;;;;;;;;;;;
;;;КАРАТЭ - ВЕСОВАЯ КАТЕГОРИЯ 84 КГ;1141011711А;;;;;;;;;;;;;
;;;КАРАТЭ - ВЕСОВАЯ КАТЕГОРИЯ 84+ КГ;1142611711А;;;;;;;;;;;;;
;;;КАРАТЭ - АБСОЛЮТНАЯ КАТЕГОРИЯ;1142671711Л;;;;;;;;;;;;;
;;;КАРАТЭ - КОМАНДНЫЕ СОРЕВНОВАНИЯ;1142691711Л;;;;;;;;;;;;;
;;;КАРАТЭ - КАТА;1142641711Л;;;;;;;;;;;;;
;;;КАРАТЭ - КАТА - ГРУППА;1142681711Л;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ С БАРЬЕРАМИ 60 М;1141831711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ С БАРЬЕРАМИ 100 М;1141821711Б;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ С БАРЬЕРАМИ 110 М;1141841711А;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ С БАРЬЕРАМИ 400 М;1141851711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ 60М;1141701711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ 100М;1141691711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ 200М;1141711711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ 300М;1141721711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ 400М;1141731711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ 400 М (КРУГ 200 М);1142851711Л;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ 800М;1141741711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ 800 М (КРУГ 200 М);1142861711Л;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ 1500М;1141751711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ 1500 М (КРУГ 200 М);1143261711Л;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ 3000М;1141761711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ 3000 М (КРУГ 200 М);1143271711Л;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ 5000М;1141771711Л;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ 10 000М;1141781711Л;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ ПО ШОССЕ 15 КМ;1141791711Г;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ ПО ШОССЕ 21,0975 КМ;1141801711Г;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ ПО ШОССЕ 42,195 КМ;1141811711Л;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ С ПРЕПЯТСТВИЯМИ 2000 М;1141861711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ С ПРЕПЯТСТВИЯМИ 3000 М;1141871711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - КРОСС 1 КМ;1142011711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - КРОСС 2 КМ;1142021711Я;;;;;;;;;;;;;
